,user_id,session_id,session_timestamp,completed_seconds,year_of_birth,gender,handedness,total_session_count,total_musing_time,bird_count,recovery_count,seconds_calm,active_days,avg_sess_per_month
15,29690e3dfb5c42e38f5dc6b37dd89c14,c1075fde76464feaa45167da1b70625c,1502867577,900,1954,female,right,55,37408,25,13,346.0,174.9775115740741,9.429783205606384
17,7fb8297291c24e28979352ab3bb0650e,f6abb6ed734d4c3ea87884f6a5c361f6,1527198226,600,1962,female,right,61,23089,22,12,284.0,139.99376157407409,13.072011062662265
18,2b549e08cb4b4a4cbdfb17d7243879ab,16e1bf9c11a64812a460421cd45653b9,1516924118,480,1969,female,right,70,33952,0,24,26.0,45.518622685185186,46.13496358455242
19,071bd018de3b48a6807e2ac23fed5536,0ecb673cfd7445e58d52c6876f23c284,1513379265,420,1999,female,right,69,23247,0,43,3.0,102.29197916666666,20.236190724468255
20,c07f204b051548b195a0499c4a09544b,86bd5460f0284d748572b6ad3faabb1e,1516344517,600,1970,female,right,55,40919,36,26,287.0,167.22160879629632,9.867145830476817
21,be3e49670dac44109e6f965eef22799e,02737c9162b3418884496f486ce474ac,1516571617,720,1956,male,right,51,26414,4,37,115.0,62.04989583333333,24.65757564057152
22,a4e657d88e6845b580f791062d5e35c7,86ce7471913a4cdfa2daa2663b9a3617,1528712453,2400,1960,male,mostly_left,58,47092,21,171,427.0,56.93314814814815,30.562160298465713
23,99b9455af63b47b0ae33e0350f617218,d8ce5673cb6d40dcb5c1d9686cce579e,1482879174,420,1959,female,right,80,38763,5,30,87.0,267.5892939814815,8.968968691871849
24,5db1dbbdb3f34f33847a2268b1d4e8b7,ac8f5b260c6549199d91e5d4caaf056c,1496612462,420,1985,male,right,71,24977,7,3,180.0,152.0265625,14.010709477167847
25,fbfa9ab63ae14068b3475ba3d57be5a1,b2c5fe03634b4e89bc14ef96c1cc841a,1536735859,900,1940,male,right,51,29160,18,18,325.0,46.571585648148144,32.852649930351646
26,60e42d3ef1e04cdaaa5e658dac4fd0a9,1c33d697211e4222afca43b4027270f6,1524089059,1200,1985,female,mostly_left,96,43712,24,30,361.0,294.6316898148148,9.774915935927224
27,f42f3d00938246ccb564e129eb3a9f53,a6b85458b1a14960af459a76bdd97bc6,1503060139,1200,1954,male,right,50,49200,6,55,306.0,113.72649305555555,13.189538863800607
28,26f7f4394dff4a05b5dec4b590b054c0,9542ce35b5a14a9883d6c4901cae2fd9,1535475212,1200,1976,male,right,44,33129,10,98,143.0,95.64726851851853,13.800707750942529
29,0c8e38e80279492f9fecf3991fb426ab,0ebd3e9d484b4f32a51841471d2fc46a,1497575735,324,1989,male,left,72,29523,15,11,141.0,200.21212962962963,10.788557136851606
30,78a036691ff04cf5bda1780295aa7279,d236934143c645d7892cf041610b06c8,1528542737,660,1988,male,right,53,30928,49,17,391.0,107.1150925925926,14.843846572093186
31,1f805f80c0894ad1aafcc1ffa6f54276,de6add1be8fb4058a14bfef3a5327d1c,1532282616,1200,1985,female,mostly_right,48,53280,105,1,846.0,55.47271990740741,25.95870551153042
32,7dd84211915443ca9b5052709c0f986c,b3704d3e4b81439489bf2f04a375f7d4,1514198162,600,1983,female,right,52,21339,16,30,186.0,82.0506712962963,19.012641522049524
33,f42f3d00938246ccb564e129eb3a9f53,c03df79f319b4626a45bc78e273baa3e,1503212647,1200,1954,male,right,50,49200,5,48,172.0,113.72649305555555,13.189538863800607
34,f0d309299f474a9ab62f8128ffa2e54a,3cf83abfa5a54f14a9ab6df6039e0ff1,1513005791,598,1942,female,mostly_right,41,27548,70,1,477.0,95.85216435185184,12.832261100385224
35,f4afad56569e4b92bdc2b175546acc78,2ee3ec604229482ba0678d30526a28bb,1524091385,544,1975,female,right,59,58256,49,5,358.0,78.21017361111113,22.631326824577474
36,803103db0ed54a8faed6940d2dea9da0,421acf739fc241ecb1a2aafaf5adc3d8,1516434035,600,1985,male,mostly_right,41,19812,19,10,282.0,92.58600694444445,13.284944891705425
37,ead91c54f1894e60969ebab7b61e3c48,5ba8b97b8d914f2f9766244cee4e71f0,1492247806,420,1959,female,right,46,24568,50,1,332.0,62.452974537037036,22.096625664828924
38,294697e2602f429abe743c1b7c38f84c,16057fec5f7e437fbc1c98709f562325,1488555365,963,1973,male,right,53,63204,35,50,376.0,72.9496875,21.795843882127663
39,47a2e442ae834092b11158d542361a80,3d3c8905dc6a4a2c883bac6ab64949ad,1518553939,1691,1970,male,mostly_right,82,199407,74,75,587.0,210.15646990740743,11.70556395948147
40,d711957e05164f6babbb514ea2be6dd2,2b9eaad11aa14fa79618dba39dada511,1477641682,420,1988,female,right,56,21180,53,0,356.0,175.1766898148148,9.59031707800841
41,897e771a99dd4031a0c4721a573529ae,a52abb3042404b8b9c757f0242237c50,1515685998,420,1950,male,right,41,15899,24,4,232.0,152.2858101851852,8.076917990614323
42,a1f75497150d4a6e9fc7523e814f987e,e7d2ed4d64e5423da59ca07a80eb7c50,1522355971,480,1988,male,right,96,32435,64,0,384.0,165.13048611111108,17.440752872623037
43,9427b1a4d22f4f3faf3953604379d7a5,15de2c105950446f80ee224d36a418b3,1531594300,900,1978,male,ambidextrous,83,41157,59,23,488.0,127.2282175925926,19.571130108679377
44,939d7692a38d4a9c8c576eb30a7ed1e1,b6265dd0145c4a5ca8a7de81c985ac18,1518766133,600,1965,male,right,44,23820,55,12,399.0,66.25443287037037,19.923195215973497
45,0644f6b9a71945148867e0d8825ebcc1,797e51390fa14eebac375dc71cf1b0ba,1514642888,600,1983,male,right,89,62273,45,0,389.0,73.89493055555556,36.132383912217705
46,a3b52131f39c4f1b96b62119444d9b88,9c590daf9b484cfc91b4a9a6a350da6e,1526279439,900,1974,male,right,61,30569,98,17,601.0,142.02443287037036,12.88510690037602
47,a8fc82daf4294923943c1942f8e3ceb8,71e5df7dde254b01bae1b3908cc9f1d5,1479078145,420,1974,female,right,68,26199,9,11,168.0,161.06410879629632,12.665764056597256
48,92fc59a6476f407aaed76e81676d975b,c417a3a0e48c497aa5f4fd47f2f5408d,1523821652,600,1972,female,right,40,30540,89,0,528.0,108.99899305555556,11.009276015865336
49,1f805f80c0894ad1aafcc1ffa6f54276,19252e5aafcc48709f9e0b10763796df,1532341880,1200,1985,female,mostly_right,48,53280,35,35,465.0,55.47271990740741,25.95870551153042
50,f60d5c6443e54163a7c319a7e4f1a6b8,73887942a61242f3b1591ab1b7cab1a4,1519460610,704,1963,female,right,88,46430,35,20,353.0,318.70905092592585,8.283417092580741
51,45b76010ccc048d5845a418b333fca44,eb0132d49df8443bb79dba76b68bd5ac,1533627613,1800,1949,male,right,79,108101,59,18,806.0,53.01407407407408,44.7051097542232
52,e614fb2b2cba4fc5b4f4e6ec3c883b76,4a1c7a625e4c4b5997ecf18af4094dce,1535007162,1800,1952,male,left,51,59845,194,0,1397.0,45.73724537037037,33.45194901027356
53,f60d5c6443e54163a7c319a7e4f1a6b8,5fe66fc975ae4e7d82c5d9ddb3a42ccc,1527631051,600,1963,female,right,88,46430,4,40,102.0,318.70905092592585,8.283417092580741
54,6c98e68ef66a4457866c5632bbdf6698,5c46b9f47b5e4f73a1ad5e62572bafa6,1523574118,600,1965,male,right,68,35903,20,32,178.0,146.7286574074074,13.903214518863395
55,26f7f4394dff4a05b5dec4b590b054c0,765b978344704c2c837a7638d9b002a1,1533833866,601,1976,male,right,44,33129,11,31,123.0,95.64726851851853,13.800707750942529
56,0f9a31cc464341589572cb99a7a62312,f1a40fb8551c4f2c8daeaf11ab9ad670,1476571122,420,1989,male,right,80,31440,6,26,96.0,149.96184027777778,16.004071406128553
57,b9887b330aa943dc9d00f23a15ba363c,cb03538c32c64593ba96060288137dc8,1534573340,600,1988,male,right,57,35089,3,41,100.0,101.22925925925928,16.89234923294758
58,6bd5d8df122540558a76a36cb9738202,414a839d2b7d47a788493cf1a06d6b2e,1532422224,900,1988,female,right,70,31300,107,1,725.0,80.89730324074074,25.9588381302483
59,feafc21a77f1419eb668f52b3ee91751,9fee793bd4814ef89b4b8d20b0c27afe,1505120409,600,1995,male,right,74,30826,16,18,233.0,168.03975694444443,13.211159313530507
60,13812654539f451fb090970acb6cf28f,62180aa2720b45c49a8cf9dcacd98d2a,1486586949,720,1972,male,right,99,34888,17,35,277.0,74.83695601851852,39.686274776663396
61,63f094368d2d477abaf97ba47975df5d,d29eda381b344e30a76d10bdc26d0294,1529274617,900,1972,male,right,46,34309,11,13,293.0,95.73913194444445,14.414168710039975
62,cd122d8a7d084bf58e82a95561e7a692,110f650d986d423e98e9ddd5f3a7160b,1524739988,1200,1947,female,right,96,73103,84,41,611.0,153.62122685185184,18.747409189599786
63,884a5f6e55524188be560c1b8ac06c3d,1c2025881b9c4bf9a346b4f141499593,1536740525,1200,1956,female,right,54,52080,108,2,821.0,53.90328703703704,30.05382582488699
64,25915ab83e0f4aa79016a4575cc09e4d,3316c67c6b7f410c9e5e01a023dcef88,1518859716,600,1958,female,right,57,46592,42,10,347.0,97.50197916666669,17.538105529909114
65,c09c0b3330184880b2b9b5332b5e52d2,206b66155bd84fdfb3dd1b2b8c4afff9,1513838697,600,1959,female,left,47,32579,26,7,319.0,56.02420138888889,25.167694764849273
66,4c006a35e44f4e1bbc5123c74d294201,e34acbe5458645c09df59d71bc3c79c8,1515603713,900,1984,male,left,51,41799,0,87,29.0,182.0348611111111,8.40498347767636
67,945a51fd742343ef931bd6581010452a,9359fc43a14744a09c497eab79c9173b,1504805120,720,1981,male,right,99,44610,34,6,359.0,356.91048611111114,8.321414235712307
68,ea95a2b9724344688c610a54857b4632,5d005da59f7148cba454bf5e994f3b33,1507718023,420,1986,male,right,38,16899,42,1,316.0,122.37070601851852,9.315955076924066
69,dbd81f14bc9d4c8488fca1a4e484083a,1e26183d9518436db07bf9c260aabc21,1482964675,720,1971,male,right,45,28478,27,10,346.0,52.916377314814824,25.511950524663852
70,b84b5f9206da4cf28dd0e7f828471369,e869751b4e1b445e8b3eaaa8814a816a,1530141465,420,1976,male,left,62,26199,48,6,298.0,87.56668981481482,21.240953654106487
71,119ee48d3e064b948714ecbf2693c0dc,b8de57653acd47c1a9156282bf55b7fc,1523607426,600,1987,male,mostly_right,73,43783,7,39,126.0,254.6330092592593,8.600613119134964
72,0644f6b9a71945148867e0d8825ebcc1,8ee6058985f94bc9b79fda06d4f3ac82,1514927394,600,1983,male,right,89,62273,10,33,172.0,73.89493055555556,36.132383912217705
73,ed44857e6d5646a8bcace7915f41c7f1,a8dfc907a06449eda34cdf0016fc480e,1492899240,720,1959,male,right,69,31141,12,16,220.0,159.035625,13.015951614614652
74,1b7535826cd14d5180ddbb69e6163175,dd2ec8c9bd6e43cbad0c217c554ca77c,1519306151,900,1985,female,right,51,51344,94,2,702.0,81.43472222222222,18.7880545085532
75,b9dfd309a6f743e9a208788b5e4c931d,b9a088f689e548edbfa1408faebc0e25,1514159543,720,1990,male,right,41,24480,1,45,70.0,69.43993055555555,17.713151354838065
76,cd22b4a9d31b464b847b72f97a452442,11bc2d180f8a4bc4b28bc454f5970b8b,1535553936,600,1992,male,right,77,34381,1,49,49.0,54.97314814814815,42.02051506627815
77,a8fc82daf4294923943c1942f8e3ceb8,1a2bf1f0866c40e7bb5cca15ecca9ce3,1486741459,420,1974,female,right,68,26199,7,11,133.0,161.06410879629632,12.665764056597256
78,ac1e414f084349fd9395c175b1869d8e,9c40f2ae5fbc42c6b9855386924ae3a7,1522431984,2573,1930,male,right,72,125450,160,17,1558.0,151.85457175925927,14.224135467085766
79,8c51fbbb6a784bc1b07a37a329c408ee,810ae736992a478eb873bed1adcf1f43,1477985523,720,1970,female,right,97,34624,74,0,560.0,158.13695601851853,18.40177067566184
80,0e790e95b66e4b109ede7ccae354962d,e9097f48c58d405487c0c048e9ee047f,1509234568,1200,1959,male,mostly_right,47,60256,8,53,189.0,114.03723379629628,12.36438269380219
81,9427b1a4d22f4f3faf3953604379d7a5,cc91a0ed724d4ef3995a876bc97aa34c,1526743230,900,1978,male,ambidextrous,83,41157,6,64,131.0,127.2282175925926,19.571130108679377
82,71262d9e2a1742eabd724e94a06f67ec,d116777f985247049b455cfed30239c1,1535710635,1200,1993,female,right,53,40680,2,72,107.0,60.04607638888889,26.47966521080166
83,23e08061460e4568be9acd26ce552db3,68557bf719204d80be5048bb714e378d,1510219441,1200,1974,female,right,58,45050,12,34,299.0,149.44395833333334,11.643160549314056
84,cb56da5f84c4491b902264cfc2387c81,5b48bea71b9346aebe61e2357f1ea13b,1535720575,840,1954,male,right,66,38520,1,31,91.0,55.40633101851852,35.7359883537176
85,47d4d6e75a134aa5b3d68bc6ed42bacd,3ddc4e2f6d164b31a2a4e142a9e8b303,1500325160,420,1980,female,right,84,41193,34,2,272.0,222.206238425926,11.34081571179677
86,dba9b5aac0764a36bd2462e7fba19ce2,98a0e0b86c4049e7a4099288b692c2d3,1532003737,600,1975,male,right,59,41024,14,8,195.0,45.26607638888889,39.10212992161318
87,7aa320811594413f8bf92b28b1bfc273,d1b4361d482948c5ad50312a137fbe41,1533193553,900,1957,female,ambidextrous,98,54301,7,38,156.0,69.52950231481482,42.28420889147609
88,80a23eeb36e5450f829fb53c704cd64f,c3b8fbe14df6465f9fef282d4f791fe8,1528930563,1200,1975,male,mostly_right,70,47395,92,34,664.0,110.00276620370371,19.09042901804132
89,bef1be6fedd04a99a3d6a562cd178d6a,1c0b437dac19420491a053daac459412,1524993369,600,1960,male,right,73,29832,4,45,90.0,127.05560185185185,17.236548157503222
90,92105598581b49558d115545aee7a1ad,68f1323c274142549c263b942923df78,1497619354,720,1963,female,right,71,30465,64,6,505.0,164.0957523148148,12.980226300517714
91,3ce962ede4e1494d8d4a5f229ed33f16,80b701a15e1046469626144813962dbb,1513750512,600,1963,male,mostly_left,50,24300,73,9,446.0,57.54552083333334,26.06632068453055
92,b8485e425eac4667bfd26e23445335af,9fc5ea777a4c41a396b7d7def3d62b3a,1509578929,420,1990,male,right,83,49485,1,23,86.0,308.6473148148148,8.06746043293451
93,7eee4c01bd6c41599cb76ec7e6c17fc8,b7ba128ee5d245adae3157bfc6b59b83,1524806474,1200,1962,male,right,49,48755,1,110,108.0,46.3834375,31.69234707970921
94,de20e5be83944cec9bd45099ba444190,2828422b27e44e80b09d3939de060ff7,1498212192,720,1982,male,right,67,55158,3,31,152.0,222.12354166666665,9.049018329702033
95,60642a6afea748279d11cc4c11cf4312,16dcd29ad52940d19f54bf6e1c12f722,1535032952,600,1975,male,right,43,20790,4,42,86.0,38.792858796296294,33.25354304960792
96,1c86eb9a30a645d38220247e0090168e,ebc24f64b85a4160b6ff4f35d23791fa,1522576626,1200,1951,male,right,77,68884,11,66,250.0,152.99099537037037,15.098927844791154
97,ea0322ead0e943baae534b99ef65a9f9,4ddbf0b605d240668560e140301eeee9,1532556764,600,1981,male,right,35,21120,57,1,428.0,79.99237268518519,13.12625147565429
98,6c7ad1bdaa09448086fdb5d4e3b154ad,f9c0bc5326d14b78b9bb5155522c6e46,1503724297,720,1982,male,right,85,29352,57,8,475.0,127.69055555555555,19.970153539590072
100,91ade8ab30b149a49519428287ecdf3e,75f949f983554c42abe2a9d12b7d2c9d,1514364018,600,1970,female,right,84,40380,69,1,483.0,116.02871527777779,21.718761549388965
101,df4e96c7c1334b73874662d9c22c1ca4,05518c1398504f898ef8b57e23cee37c,1517346100,900,1951,female,right,59,42474,0,67,80.0,203.11394675925925,8.71432035190519
102,557732908d9446b09745f8090c75fd8a,b0eaca038bc14309b09caf7c9f8eecc1,1534925481,600,1954,male,right,37,18840,8,4,210.0,65.4440625,16.96104975145759
103,6b9c2507d9ca4c8ea53d2b865c6e1a91,acd8d9124ae442068ff23dbf57645c61,1534709616,420,1952,male,right,73,55662,48,4,316.0,36.29149305555556,60.344720363185814
104,7d289f1291bd4fa68baca1a8beccaa46,74f7c3b7fa0c46f08b99093f1614aa42,1533287207,600,1967,female,right,51,32955,1,40,87.0,48.450081018518524,31.578894561914268
105,4e9c30037aaf4129bdf625cdd099a2a5,fe4233527daf447b88e95b45d9935150,1523048563,1200,1983,male,right,85,59051,2,104,67.0,189.3284606481481,13.468656488677485
106,7321234c13b5499aa0133dd307c8dedc,2d5db95b35a24cd991bf71e7b6c5892f,1531227484,480,1982,male,right,56,23159,18,24,185.0,134.79769675925925,12.463120961186608
107,e476b28d5cbe453b8430473c63f8cd75,089b0d1871a14537b10bf2e65c43f8fa,1534750528,420,1979,female,right,48,21458,37,5,284.0,37.96216435185185,37.932505287458795
108,e0238491a0be4fa2bd6c732d6229e817,2fbbf8a2eed148a88b3965f4efeca2b4,1530442035,600,1984,male,right,61,34467,7,22,190.0,70.05891203703703,26.120873801645107
109,4018c7914a374cb4b05c902daac936da,8d97f3d9b2e94a7696ab2aee796751bb,1521498383,600,1971,male,right,79,24780,12,40,142.0,247.1518171296296,9.589247724433882
110,9bb58746c6d648cfa05deea90377e60d,92bf257ae9b5464283f865a406d4a9b6,1519512252,600,1977,female,right,62,40812,39,13,340.0,177.01128472222226,10.507804646007934
111,0a9b015288e0429b983dfc451666794b,f2cb3583d9dc4cfd9775d9bc345da6c3,1536906246,1746,1987,male,mostly_left,49,32076,100,59,850.0,88.19319444444444,16.667952774133806
112,7321234c13b5499aa0133dd307c8dedc,89972ad32aea47678ac55a7eeafb3272,1528040862,420,1982,male,right,56,23159,26,4,253.0,134.79769675925925,12.463120961186608
113,29690e3dfb5c42e38f5dc6b37dd89c14,ac328252f5634937a2725964ab20cd72,1502787658,900,1954,female,right,55,37408,0,64,34.0,174.9775115740741,9.429783205606384
114,bef8e99c1158441ba0e77d1f271575d0,d55054976e2a40ba929d2366a2225fcc,1514829618,1200,1972,female,right,48,47340,0,76,175.0,71.95545138888889,20.012382275491635
115,68aaa936b0954079bc4dc8e41db68bea,0a3c0008ed5e4c39997f573d0e48bc78,1536095993,480,1977,female,right,84,37239,31,3,289.0,91.29041666666667,27.60421183311501
116,480267b0e2c64ff69df23395a3b7de0e,273b9bb1f3b143febd01c38d74b5aa7b,1529947322,1200,1979,male,mostly_left,93,48781,32,9,446.0,120.74548611111109,23.106453829939586
117,9d291ea27ce84939bc1f073b9d285f4f,73d31a12b1d641ba9bbc6d232c7fa677,1534534273,1200,1960,male,right,41,44880,130,9,877.0,42.40340277777778,29.007106020382928
118,a0b1dcf737ee4ae3b464dba1dbef6c4e,923aad41cb9548c29b4286324cfa59b8,1537374882,900,1955,female,right,91,77249,88,16,593.0,187.01467592592599,14.597784834176956
119,1b7535826cd14d5180ddbb69e6163175,0ec5467a8fce4eaebee351ae9d733db0,1518154866,2700,1985,female,right,51,51344,127,6,1373.0,81.43472222222222,18.7880545085532
120,1f1ebe96c16642baaca8a84b5ba2258e,991ddd09f3fd437992959d3c1ae2473a,1529279373,420,1989,male,right,86,29466,15,19,140.0,298.18751157407405,8.652273820525481
122,f7bf0a264f03400db31d322a8956b34d,aba9debc839549d1ab50ca481f5f04f3,1511419768,420,1961,female,right,99,39164,0,28,0.0,299.7154398148148,9.909399401762796
123,e596e2caeb294c4284033c2402c556f5,2162f888dbf24a238024279af7025421,1533019574,600,1969,male,right,75,39765,39,4,382.0,99.42512731481482,22.63009423036202
124,9427b1a4d22f4f3faf3953604379d7a5,dd318abe41e8472f9dada13894e4bf85,1526290512,600,1978,male,ambidextrous,83,41157,47,6,391.0,127.2282175925926,19.571130108679377
125,897e771a99dd4031a0c4721a573529ae,26128b01dab94ea9ae4fb773d0a9cbc0,1512137386,420,1950,male,right,41,15899,41,7,286.0,152.2858101851852,8.076917990614323
126,0c8e38e80279492f9fecf3991fb426ab,a05f9acbc7d44190b3c20b565a81eb80,1485591270,420,1989,male,left,72,29523,31,6,229.0,200.21212962962963,10.788557136851606
127,d56add310f45470ebb97c452b1867f0a,3d9c3aee08724e5fbc7f8e644675719d,1520938690,600,1973,male,right,60,36886,2,48,73.0,167.59019675925927,10.740485033176926
128,26e67f76a5834d1db1f535e0a97ce6af,9984c0968cf54fa2aba3d969db59ec32,1530212667,1200,1968,male,left,36,28736,0,118,28.0,92.18545138888891,11.715514582056626
129,1e616aca5a434671bc3900815c43bf99,6b492d99341f41dc8d2a1ed7b49b8208,1537310851,1200,1947,female,right,54,57105,1,104,29.0,44.8343287037037,36.1330267863735
130,e663ba060a9a4439a76b0376f4255e25,44662b09276c4afca4b3db60384dd816,1516465073,900,1978,male,right,66,48692,7,44,178.0,107.43862268518518,18.429126793646287
132,24c583b99401404cb191d7ab48185925,d46fa23c83b5430a94eddb24383d1b79,1508854747,600,1961,male,right,98,32160,25,35,219.0,292.701412037037,10.044365620033243
133,9028c05543e34cfeb963e91b7cb9e6ee,d9719121dd1c4bc69801afcb47eaad5c,1537086739,900,1993,male,right,37,29717,32,23,376.0,56.9465162037037,19.49197376762105
134,cc6f2aeae3c4450e85a8ebc7f71190ef,cc88ab0c38784802b61c37f9f4c763f8,1518686091,600,1976,male,right,94,33469,65,6,452.0,229.73123842592597,12.275213503057294
135,5e7c25595298494e968bad012dc8c5d8,974dad3fb78044a5b46ebb194f7b20d2,1496242238,720,1982,female,right,47,36165,3,23,80.0,123.99622685185186,11.37131375525353
136,2d9dbbb203f94a81be720d4911ba4340,8a432482e9dd4531bc518538d337392d,1528786567,504,1992,male,right,84,33601,18,23,166.0,94.41211805555555,26.69148888829228
137,909d00bc65714611bb5546f85b69aa35,81bddd5de92f453caf956584d9272776,1536475111,600,1979,male,right,66,31380,70,6,459.0,54.050995370370366,36.63207284958521
138,d711957e05164f6babbb514ea2be6dd2,3c340f1fce1d4ed89a636bcb8e8cfab7,1477762201,420,1988,female,right,56,21180,19,5,207.0,175.1766898148148,9.59031707800841
139,f0d309299f474a9ab62f8128ffa2e54a,a2cbe4d43f5d4708b067a06f52e9327a,1511179490,900,1942,female,mostly_right,41,27548,74,17,594.0,95.85216435185184,12.832261100385224
140,0e630a7b76d3409499df1ddbf3d2f6b9,18611fa0947a4f6084b8710cce9c33ae,1523178163,420,1980,male,right,59,18480,0,37,43.0,46.620856481481475,37.965840475347576
141,1d0cd94449064666a8c373b58ea300e8,6cf7f3930e7f4d7ea1f188072b587059,1519373202,660,1964,male,right,57,35460,23,16,256.0,55.399363425925934,30.866780667731465
142,115b6a6ac1eb44e18a8f5f91fb6c4f9d,79738ed3ad304970a04252c7703060e6,1523003441,1037,1966,male,right,90,65205,4,62,59.0,108.20263888888887,24.953180696198874
143,75772408bae94825bcee4a6bda71d81b,223fb4918bdb490c80b12840bf3d61c8,1508491723,1800,1947,male,right,72,29356,143,8,1172.0,128.75232638888892,16.776395895759162
145,c86ab5e38b604c84ac96cd72661c8b75,fd4e397b88d84d8082a7b225dd4f01a8,1516484046,1382,1975,male,right,71,129609,3,125,202.0,44.83729166666666,47.50509945683234
146,7d4f8b2c0ce94ba5a136f580bbb7c890,dd76749a493541c8bd48e962efee3577,1499460631,900,1983,male,right,69,36497,121,5,755.0,189.57585648148148,10.919111950324783
147,557732908d9446b09745f8090c75fd8a,71df985298f14e3796939b96045d4172,1536568729,600,1954,male,right,37,18840,24,5,315.0,65.4440625,16.96104975145759
148,ed3fc61b24f2489a80895ce65c418766,9595f10788d849ae8a810621493cfdce,1532892150,600,1985,female,right,93,43335,13,33,180.0,101.37042824074074,27.522819508803263
149,7fb8297291c24e28979352ab3bb0650e,ee6b5ff1e2a34ddebcd580555134d727,1533077146,600,1962,female,right,61,23089,13,14,196.0,139.99376157407409,13.072011062662265
150,6326f17533364de18bd0282092ec4d40,b3f6e437ebc3476c9ae6b3f2f9409c55,1489396647,1200,1961,male,right,81,49359,61,3,648.0,117.9105324074074,20.608845964699775
151,c8f85fb6929a46358decec03ad56328b,7e83103ffd214fb4904f4a43b7a207fc,1498634223,420,1964,male,mostly_right,58,17761,3,35,64.0,205.15353009259258,8.481452886600003
152,1f1ebe96c16642baaca8a84b5ba2258e,d1781e98326f45ad88328eea557eacb8,1525826681,420,1989,male,right,86,29466,11,13,165.0,298.18751157407405,8.652273820525481
154,5db1dbbdb3f34f33847a2268b1d4e8b7,8e82923ae7264309836c9634798ee676,1496938986,420,1985,male,right,71,24977,17,2,220.0,152.0265625,14.010709477167847
155,6c98e68ef66a4457866c5632bbdf6698,56ca50b9b6c94bdb8bfebf328b3e4784,1521787681,900,1965,male,right,68,35903,38,29,368.0,146.7286574074074,13.903214518863395
156,1f805f80c0894ad1aafcc1ffa6f54276,e3c287ecc4df4fbd8ea70b171d8faaca,1532371371,600,1985,female,mostly_right,48,53280,7,6,160.0,55.47271990740741,25.95870551153042
157,7363fdd3a22c4161aa74d5540a2aa7e2,94829138939948feb484a8fd62f422ed,1521485930,1080,1959,female,right,56,49680,3,76,120.0,69.31108796296296,24.238546088004327
158,2d9651eecb6049be9ce6d14130085a2b,bb6e1f4a581049fda3616c434d6efb33,1517700188,600,1943,male,right,64,24900,19,11,237.0,107.18013888888888,17.91376667267075
